model_name,fold_idx,accuracy,embedding,weight
RandomForestClassifier,0,0.36269525408912096,word2vec,mean
RandomForestClassifier,1,0.36267224918907726,word2vec,mean
RandomForestClassifier,2,0.3626805926198583,word2vec,mean
RandomForestClassifier,3,0.3626805926198583,word2vec,mean
RandomForestClassifier,4,0.3626805926198583,word2vec,mean
LinearSVC,0,0.42048356299891876,word2vec,mean
LinearSVC,1,0.4227840530032897,word2vec,mean
LinearSVC,2,0.418468758627036,word2vec,mean
LinearSVC,3,0.4216205024385755,word2vec,mean
LinearSVC,4,0.4242431213766449,word2vec,mean
LogisticRegression,0,0.417377901493018,word2vec,mean
LogisticRegression,1,0.4163196760910074,word2vec,mean
LogisticRegression,2,0.4158231342596853,word2vec,mean
LogisticRegression,3,0.4143047759271188,word2vec,mean
LogisticRegression,4,0.4180316554706911,word2vec,mean
RandomForestClassifier,0,0.38165129172513745,word2vec,tfidf
RandomForestClassifier,1,0.38137523292461295,word2vec,tfidf
RandomForestClassifier,2,0.3828103432410049,word2vec,tfidf
RandomForestClassifier,3,0.38251127266034785,word2vec,tfidf
RandomForestClassifier,4,0.3820281586454403,word2vec,tfidf
LinearSVC,0,0.3647426901930111,word2vec,tfidf
LinearSVC,1,0.36527180289401645,word2vec,tfidf
LinearSVC,2,0.363991902088893,word2vec,tfidf
LinearSVC,3,0.36495813011870804,word2vec,tfidf
LinearSVC,4,0.36429097266955,word2vec,tfidf
LogisticRegression,0,0.3630633324898203,word2vec,tfidf
LogisticRegression,1,0.3637764843911753,word2vec,tfidf
LogisticRegression,2,0.36258857090273305,word2vec,tfidf
LogisticRegression,3,0.3632327229226097,word2vec,tfidf
LogisticRegression,4,0.36192141345357504,word2vec,tfidf
RandomForestClassifier,0,0.39768570705560286,word2vec,sif
RandomForestClassifier,1,0.3965814718535048,word2vec,sif
RandomForestClassifier,2,0.3979479157081071,word2vec,sif
RandomForestClassifier,3,0.39829299714732674,word2vec,sif
RandomForestClassifier,4,0.3977868777031379,word2vec,sif
LinearSVC,0,0.42607375370954015,word2vec,sif
LinearSVC,1,0.427822126112862,word2vec,sif
LinearSVC,2,0.42576147970921135,word2vec,sif
LinearSVC,3,0.42679672402687036,word2vec,sif
LinearSVC,4,0.42679672402687036,word2vec,sif
LogisticRegression,0,0.40656559847247464,word2vec,sif
LogisticRegression,1,0.40612850537164413,word2vec,sif
LogisticRegression,2,0.4066209625471611,word2vec,sif
LogisticRegression,3,0.40726511456703784,word2vec,sif
LogisticRegression,4,0.40795527744547716,word2vec,sif
RandomForestClassifier,0,0.37281741010835306,glove,mean
RandomForestClassifier,1,0.3694586947019715,glove,mean
RandomForestClassifier,2,0.37142265574675626,glove,mean
